Name,Modality,Bodypart
D:\Intership\data\000098 (4).jpg,CT,Chest
D:\Intership\data\Normal- (4849).jpg,CT,Abdominal
D:\Intership\data\14972.jpg,XRay,Hand
D:\Intership\data\N23_0_102.jpg,CT,Brain
D:\Intership\data\Normal- (2736).jpg,CT,Abdominal
D:\Intership\data\N15_0_55.jpg,CT,Brain
D:\Intership\data\VIRUS-9496210-0005.jpg,XRay,Chest
D:\Intership\data\10159.jpg,XRay,Hand
D:\Intership\data\Tumor- (907).jpg,CT,Abdominal
D:\Intership\data\8629.jpg,XRay,Hand
D:\Intership\data\20_0_114.jpg,CT,Brain
D:\Intership\data\Cyst- (438).jpg,CT,Abdominal
D:\Intership\data\000105 (3).jpg,CT,Chest
D:\Intership\data\NORMAL-2031622-0001.jpg,XRay,Chest
D:\Intership\data\14832.jpg,XRay,Hand
D:\Intership\data\Normal- (2263).jpg,CT,Abdominal
D:\Intership\data\20_0_83.jpg,CT,Brain
D:\Intership\data\Cancer (1255).jpg,CT,Brain
D:\Intership\data\3095.jpg,XRay,Hand
D:\Intership\data\10868.jpg,XRay,Hand
D:\Intership\data\15026.jpg,XRay,Hand
D:\Intership\data\15532.jpg,XRay,Hand
D:\Intership\data\10271.jpg,XRay,Hand
D:\Intership\data\Normal- (4433).jpg,CT,Abdominal
D:\Intership\data\Stone- (887).jpg,CT,Abdominal
D:\Intership\data\2461.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (601).jpg,CT,Brain
D:\Intership\data\Not Cancer  (1876).jpg,CT,Brain
D:\Intership\data\Not Cancer  (180).jpg,CT,Brain
D:\Intership\data\N6_0_80.jpg,CT,Brain
D:\Intership\data\JPCNN061.jpg,XRay,Chest
D:\Intership\data\13754.jpg,XRay,Hand
D:\Intership\data\Normal- (3874).jpg,CT,Abdominal
D:\Intership\data\1514.jpg,XRay,Hand
D:\Intership\data\9836.jpg,XRay,Hand
D:\Intership\data\NORMAL-5042453-0001.jpg,XRay,Chest
D:\Intership\data\Not Cancer  (19).jpg,CT,Brain
D:\Intership\data\3600.jpg,XRay,Hand
D:\Intership\data\9157.jpg,XRay,Hand
D:\Intership\data\Normal- (1007).jpg,CT,Abdominal
D:\Intership\data\8117.jpg,XRay,Hand
D:\Intership\data\9076.jpg,XRay,Hand
D:\Intership\data\1990.jpg,XRay,Hand
D:\Intership\data\3235.jpg,XRay,Hand
D:\Intership\data\6542.jpg,XRay,Hand
D:\Intership\data\Cancer (1348).jpg,CT,Brain
D:\Intership\data\NORMAL-4205289-0001.jpg,XRay,Chest
D:\Intership\data\7628.jpg,XRay,Hand
D:\Intership\data\12202.jpg,XRay,Hand
D:\Intership\data\14465.jpg,XRay,Hand
D:\Intership\data\N20_0_103.jpg,CT,Brain
D:\Intership\data\Cancer (1546).jpg,CT,Brain
D:\Intership\data\12_0_63.jpg,CT,Brain
D:\Intership\data\Not Cancer  (270).jpg,CT,Brain
D:\Intership\data\Cyst- (3368).jpg,CT,Abdominal
D:\Intership\data\Cancer (1657).jpg,CT,Brain
D:\Intership\data\NORMAL-4093513-0001.jpg,XRay,Chest
D:\Intership\data\3209.jpg,XRay,Hand
D:\Intership\data\Cyst- (1029).jpg,CT,Abdominal
D:\Intership\data\Normal- (2947).jpg,CT,Abdominal
D:\Intership\data\N9_0_115.jpg,CT,Brain
D:\Intership\data\N27_0_63.jpg,CT,Brain
D:\Intership\data\1_0_181.jpg,CT,Brain
D:\Intership\data\N24_0_137.jpg,CT,Brain
D:\Intership\data\N6_0_42.jpg,CT,Brain
D:\Intership\data\3678.jpg,XRay,Hand
D:\Intership\data\Cyst- (1080).jpg,CT,Abdominal
D:\Intership\data\VIRUS-6398913-0002.jpg,XRay,Chest
D:\Intership\data\3826.jpg,XRay,Hand
D:\Intership\data\N23_0_89.jpg,CT,Brain
D:\Intership\data\Tumor- (1010).jpg,CT,Abdominal
D:\Intership\data\N2_0_221.jpg,CT,Brain
D:\Intership\data\Cyst- (977).jpg,CT,Abdominal
D:\Intership\data\Normal- (4226).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-6684872-0001.jpg,XRay,Chest
D:\Intership\data\5_0_30.jpg,CT,Brain
D:\Intership\data\Cancer (754).jpg,CT,Brain
D:\Intership\data\Cyst- (3474).jpg,CT,Abdominal
D:\Intership\data\Stone- (62).jpg,CT,Abdominal
D:\Intership\data\VIRUS-5171784-0002.jpg,XRay,Chest
D:\Intership\data\13566.jpg,XRay,Hand
D:\Intership\data\2239.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1090).jpg,CT,Brain
D:\Intership\data\NORMAL-5277056-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (2466).jpg,CT,Abdominal
D:\Intership\data\Tumor- (936).jpg,CT,Abdominal
D:\Intership\data\Cancer (1413).jpg,CT,Brain
D:\Intership\data\NORMAL-1566442-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (95).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-8302026-0001.jpg,XRay,Chest
D:\Intership\data\12077.jpg,XRay,Hand
D:\Intership\data\8742.jpg,XRay,Hand
D:\Intership\data\15117.jpg,XRay,Hand
D:\Intership\data\Cyst- (275).jpg,CT,Abdominal
D:\Intership\data\7329.jpg,XRay,Hand
D:\Intership\data\VIRUS-6171093-0004.jpg,XRay,Chest
D:\Intership\data\Cyst- (2259).jpg,CT,Abdominal
D:\Intership\data\Normal- (1713).jpg,CT,Abdominal
D:\Intership\data\Normal- (2990).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1223).jpg,CT,Brain
D:\Intership\data\Stone- (206).jpg,CT,Abdominal
D:\Intership\data\Tumor- (149).jpg,CT,Abdominal
D:\Intership\data\Normal- (645).jpg,CT,Abdominal
D:\Intership\data\N1_0_115.jpg,CT,Brain
D:\Intership\data\Tumor- (721).jpg,CT,Abdominal
D:\Intership\data\Normal- (1576).jpg,CT,Abdominal
D:\Intership\data\VIRUS-8608254-0002.jpg,XRay,Chest
D:\Intership\data\BACTERIA-5616489-0001.jpg,XRay,Chest
D:\Intership\data\N27_0_37.jpg,CT,Brain
D:\Intership\data\Cyst- (1317).jpg,CT,Abdominal
D:\Intership\data\14436.jpg,XRay,Hand
D:\Intership\data\10022.jpg,XRay,Hand
D:\Intership\data\13640.jpg,XRay,Hand
D:\Intership\data\Normal- (764).jpg,CT,Abdominal
D:\Intership\data\20_0_78.jpg,CT,Brain
D:\Intership\data\9_0_95.jpg,CT,Brain
D:\Intership\data\4775.jpg,XRay,Hand
D:\Intership\data\N16_0_74.jpg,CT,Brain
D:\Intership\data\Cancer (200).jpg,CT,Brain
D:\Intership\data\Stone- (932).jpg,CT,Abdominal
D:\Intership\data\17_0_201.jpg,CT,Brain
D:\Intership\data\7638.jpg,XRay,Hand
D:\Intership\data\BACTERIA-772356-0001.jpg,XRay,Chest
D:\Intership\data\Tumor- (361).jpg,CT,Abdominal
D:\Intership\data\4776.jpg,XRay,Hand
D:\Intership\data\N23_0_126.jpg,CT,Brain
D:\Intership\data\BACTERIA-3232588-0001.jpg,XRay,Chest
D:\Intership\data\Normal- (2145).jpg,CT,Abdominal
D:\Intership\data\Cyst- (830).jpg,CT,Abdominal
D:\Intership\data\N5_0_126.jpg,CT,Brain
D:\Intership\data\13651.jpg,XRay,Hand
D:\Intership\data\N12_0_33.jpg,CT,Brain
D:\Intership\data\BACTERIA-6686792-0001.jpg,XRay,Chest
D:\Intership\data\1492.jpg,XRay,Hand
D:\Intership\data\11322.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (1469).jpg,CT,Brain
D:\Intership\data\Tumor- (1215).jpg,CT,Abdominal
D:\Intership\data\Normal- (4160).jpg,CT,Abdominal
D:\Intership\data\15268.jpg,XRay,Hand
D:\Intership\data\7108.jpg,XRay,Hand
D:\Intership\data\2352.jpg,XRay,Hand
D:\Intership\data\Normal- (986).jpg,CT,Abdominal
D:\Intership\data\3410.jpg,XRay,Hand
D:\Intership\data\10148.jpg,XRay,Hand
D:\Intership\data\5150.jpg,XRay,Hand
D:\Intership\data\3977.jpg,XRay,Hand
D:\Intership\data\Tumor- (912).jpg,CT,Abdominal
D:\Intership\data\11503.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (653).jpg,CT,Brain
D:\Intership\data\Normal- (2346).jpg,CT,Abdominal
D:\Intership\data\8719.jpg,XRay,Hand
D:\Intership\data\12114.jpg,XRay,Hand
D:\Intership\data\1445.jpg,XRay,Hand
D:\Intership\data\1627.jpg,XRay,Hand
D:\Intership\data\6036.jpg,XRay,Hand
D:\Intership\data\9_0_81.jpg,CT,Brain
D:\Intership\data\9508.jpg,XRay,Hand
D:\Intership\data\N10_0_10.jpg,CT,Brain
D:\Intership\data\12755.jpg,XRay,Hand
D:\Intership\data\Cancer (2122).jpg,CT,Brain
D:\Intership\data\13881.jpg,XRay,Hand
D:\Intership\data\Cancer (1518).jpg,CT,Brain
D:\Intership\data\VIRUS-3294243-0004.jpg,XRay,Chest
D:\Intership\data\N6_0_50.jpg,CT,Brain
D:\Intership\data\N6_0_88.jpg,CT,Brain
D:\Intership\data\4_0_123.jpg,CT,Brain
D:\Intership\data\3717.jpg,XRay,Hand
D:\Intership\data\Normal- (3472).jpg,CT,Abdominal
D:\Intership\data\9_0_127.jpg,CT,Brain
D:\Intership\data\13163.jpg,XRay,Hand
D:\Intership\data\Tumor- (766).jpg,CT,Abdominal
D:\Intership\data\BACTERIA-8290580-0001.jpg,XRay,Chest
D:\Intership\data\NORMAL-9776714-0001.jpg,XRay,Chest
D:\Intership\data\N3_0_1.jpg,CT,Brain
D:\Intership\data\Normal- (1332).jpg,CT,Abdominal
D:\Intership\data\Normal- (2584).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1761).jpg,CT,Brain
D:\Intership\data\Cancer (1885).jpg,CT,Brain
D:\Intership\data\N18_0_44.jpg,CT,Brain
D:\Intership\data\7_0_148.jpg,CT,Brain
D:\Intership\data\Normal- (3596).jpg,CT,Abdominal
D:\Intership\data\2_0_23.jpg,CT,Brain
D:\Intership\data\10761.jpg,XRay,Hand
D:\Intership\data\Not Cancer  (757).jpg,CT,Brain
D:\Intership\data\Tumor- (1532).jpg,CT,Abdominal
D:\Intership\data\6_0_32.jpg,CT,Brain
D:\Intership\data\Stone- (785).jpg,CT,Abdominal
D:\Intership\data\Normal- (2440).jpg,CT,Abdominal
D:\Intership\data\Not Cancer  (1559).jpg,CT,Brain
D:\Intership\data\Normal- (4583).jpg,CT,Abdominal
D:\Intership\data\Cyst- (681).jpg,CT,Abdominal
D:\Intership\data\Cancer (463).jpg,CT,Brain
D:\Intership\data\Cyst- (61).jpg,CT,Abdominal
D:\Intership\data\Stone- (203).jpg,CT,Abdominal
D:\Intership\data\N22_0_61.jpg,CT,Brain
D:\Intership\data\N20_0_212.jpg,CT,Brain
D:\Intership\data\VIRUS-5923071-0001.jpg,XRay,Chest
D:\Intership\data\8768.jpg,XRay,Hand
D:\Intership\data\Tumor- (1724).jpg,CT,Abdominal
D:\Intership\data\11_0_42.jpg,CT,Brain
D:\Intership\data\BACTERIA-9250380-0002.jpg,XRay,Chest
D:\Intership\data\6447.jpg,XRay,Hand
D:\Intership\data\Cyst- (303).jpg,CT,Abdominal
D:\Intership\data\8734.jpg,XRay,Hand
D:\Intership\data\Stone- (756).jpg,CT,Abdominal
D:\Intership\data\Cancer (797).jpg,CT,Brain
D:\Intership\data\12_0_69.jpg,CT,Brain
D:\Intership\data\NORMAL-3780378-0002.jpg,XRay,Chest
D:\Intership\data\11126.jpg,XRay,Hand
D:\Intership\data\Tumor- (1045).jpg,CT,Abdominal
D:\Intership\data\4321.jpg,XRay,Hand
D:\Intership\data\Tumor- (528).jpg,CT,Abdominal
D:\Intership\data\Normal- (26).jpg,CT,Abdominal
D:\Intership\data\Normal- (2581).jpg,CT,Abdominal
D:\Intership\data\Cancer (1195).jpg,CT,Brain
D:\Intership\data\NORMAL-5504914-0001.jpg,XRay,Chest
D:\Intership\data\Cyst- (457).jpg,CT,Abdominal
D:\Intership\data\Normal- (4573).jpg,CT,Abdominal
D:\Intership\data\12630.jpg,XRay,Hand
D:\Intership\data\4334.jpg,XRay,Hand
D:\Intership\data\Tumor- (387).jpg,CT,Abdominal
D:\Intership\data\000070 (2).jpg,CT,Chest
D:\Intership\data\Cyst- (129).jpg,CT,Abdominal
D:\Intership\data\Cancer (1249).jpg,CT,Brain
D:\Intership\data\BACTERIA-2474652-0007.jpg,XRay,Chest
D:\Intership\data\Stone- (431).jpg,CT,Abdominal
D:\Intership\data\13402.jpg,XRay,Hand
D:\Intership\data\Tumor- (1723).jpg,CT,Abdominal
D:\Intership\data\Tumor- (495).jpg,CT,Abdominal
D:\Intership\data\Normal- (3127).jpg,CT,Abdominal
D:\Intership\data\13140.jpg,XRay,Hand
D:\Intership\data\N3_0_237.jpg,CT,Brain
D:\Intership\data\BACTERIA-4233560-0003.jpg,XRay,Chest
D:\Intership\data\Tumor- (929).jpg,CT,Abdominal
D:\Intership\data\Normal- (3724).jpg,CT,Abdominal
D:\Intership\data\2421.jpg,XRay,Hand
D:\Intership\data\BACTERIA-6076468-0008.jpg,XRay,Chest
D:\Intership\data\13568.jpg,XRay,Hand
